GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,33,39,60,68,3045,3575,5297,9860,521532.2,171.274943,164.333333,160.515152,12.7413127,3.86100386,4.19884170,A,A,Group Association- A,A / A,33,5297,60,68,9860,3045,3575,521532.2,39,160.515152,164.333333,171.274943,12.7413127,3.86100386,4.19884170
C,C,C,Group Corporate - C,1,1,79,79,2582,2743,169,12631,419040,162.292796,159.886076,169,.386100386,5.08365508,3.56039713,C,C,Corporate Group - C,C / C,1,169,79,79,12631,2582,2743,419040,1,169,159.886076,162.292796,.386100386,5.08365508,3.56039713
D,D,D,Discounts - D,34,58,221,380,9866,17339,5464.62,29322.17,1308021.95,132.578750,132.679502,160.724118,13.1274131,14.2213642,13.6045229,D,D,Discounts - D,D / D,34,5464.62,221,380,29322.17,9866,17339,1308021.95,58,160.724118,132.679502,132.578750,13.1274131,14.2213642,13.6045229
E,E,E,Consortium - E,1,1,25,27,923,943,161.5,4250,160632.45,174.032990,170,161.5,.386100386,1.60875161,1.27275234,E,E,Consortium - E,E / E,1,161.5,25,27,4250,923,943,160632.45,1,161.5,170,174.032990,.386100386,1.60875161,1.27275234
G,G,G,Rack - G,3,4,47,64,3352,4514,600,7610.06,626201.35,186.814245,161.916170,200,1.15830116,3.02445302,4.62217319,G,G,Rack - G,G / G,3,600,47,64,7610.06,3352,4514,626201.35,4,200,161.916170,186.814245,1.15830116,3.02445302,4.62217319
H,H,H,House Use - H,0,0,0,0,1,1,99,-94.14,11371.5,11371.5,0,0,0,0,.001378930,H,H,House Use - H,H / H,0,99,0,0,-94.14,1,1,11371.5,0,0,0,11371.5,0,0,.001378930
K,K,K,Package - K,0,0,5,9,787,1285,0,720,139724.74,177.540966,144,0,0,.321750322,1.08521787,K,K,Package - K,K / K,0,0,5,9,720,787,1285,139724.74,0,0,144,177.540966,0,.321750322,1.08521787
L,L,L,Local Corporate - L,0,0,1,1,420,427,0,179,66999.19,159.521881,179,0,0,.064350064,.579150579,L,L,Local Corporate- L,L / L,0,0,1,1,179,420,427,66999.19,0,0,179,159.521881,0,.064350064,.579150579
M,M,M,Government/Military - M,2,2,9,12,1081,1275,262,1145,150183,138.929695,127.222222,131,.772200772,.579150579,1.49062328,M,M,Government/Military - M,M / M,2,262,9,12,1145,1081,1275,150183,2,131,127.222222,138.929695,.772200772,.579150579,1.49062328
N,N,N,Complimentary - N,0,0,8,8,1304,1604,0,0,811.11,.622016871,0,0,0,.514800515,1.79812466,N,N,Complimentary - N,N / N,0,0,8,8,0,1304,1604,811.11,0,0,0,.622016871,0,.514800515,1.79812466
O,O,O,Contract/Other - O,20,20,120,121,6194,6243,2040,12240,636849.12,102.817100,102,102,7.72200772,7.72200772,8.54109211,O,O,Contract/Other - O,O / O,20,2040,120,121,12240,6194,6243,636849.12,20,102,102,102.817100,7.72200772,7.72200772,8.54109211
P,P,P,National Corporate - P,2,2,57,57,3028,3174,324,9100,522347.14,172.505661,159.649123,162,.772200772,3.66795367,4.17539989,P,P,National Corporate- P,P / P,2,324,57,57,9100,3028,3174,522347.14,2,162,159.649123,172.505661,.772200772,3.66795367,4.17539989
Q,Q,Q,Group Govt/Military - Q,0,0,1,1,989,1055,0,131,127475,128.892821,131,0,0,.064350064,1.36376172,Q,Q,Group Govt/Military - Q,Q / Q,0,0,1,1,131,989,1055,127475,0,0,131,128.892821,0,.064350064,1.36376172
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.015168229,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.015168229
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.142029785,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.142029785
U,U,U,Group SMERF - U,0,0,74,90,6628,10090,0,-1854.1,873759.33,131.828505,-25.055405,0,0,4.76190476,9.13954771,U,U,Group SMERF - U,U / U,0,0,74,90,-1854.1,6628,10090,873759.33,0,0,-25.055405,131.828505,0,4.76190476,9.13954771
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001378930,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001378930
W,W,W,Wholesale - W,0,0,1,1,817,967,0,95,94406.79,115.552987,95,0,0,.064350064,1.12658577,W,W,Wholesale - W,W / W,0,0,1,1,95,817,967,94406.79,0,0,95,115.552987,0,.064350064,1.12658577
