GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,29,29,3875,4502,0,4376.06,676567.26,174.598003,150.898621,0,0,.466537967,4.54753494,A,A,Group Association- A,A / A,0,0,29,29,4376.06,3875,4502,676567.26,0,0,150.898621,174.598003,0,.466537967,4.54753494
C,C,C,Group Corporate - C,0,0,193,199,3230,3408,0,34053,526074,162.871207,176.440415,0,0,3.10489060,3.79059042,C,C,Corporate Group - C,C / C,0,0,193,199,34053,3230,3408,526074,0,0,176.440415,162.871207,0,3.10489060,3.79059042
D,D,D,Discounts - D,33,72,1365,2504,12457,21939,3102.11,178342.36,1645006.57,132.054794,130.653744,94.0033333,12.7413127,21.9594595,14.6190046,D,D,Discounts - D,D / D,33,3102.11,1365,2504,178342.36,12457,21939,1645006.57,72,94.0033333,130.653744,132.054794,12.7413127,21.9594595,14.6190046
E,E,E,Consortium - E,1,1,102,104,1121,1147,131.75,18333.75,196884.1,175.632560,179.742647,131.75,.386100386,1.64092664,1.31555785,E,E,Consortium - E,E / E,1,131.75,102,104,18333.75,1121,1147,196884.1,1,131.75,179.742647,175.632560,.386100386,1.64092664,1.31555785
G,G,G,Rack - G,1,2,230,277,3820,5108,125,38829.25,705063.8,184.571675,168.822826,125,.386100386,3.70012870,4.48298929,G,G,Rack - G,G / G,1,125,230,277,38829.25,3820,5108,705063.8,2,125,168.822826,184.571675,.386100386,3.70012870,4.48298929
H,H,H,House Use - H,0,0,0,0,1,1,0,-150.24,12789.95,12789.95,0,0,0,0,.001173557,H,H,House Use - H,H / H,0,0,0,0,-150.24,1,1,12789.95,0,0,0,12789.95,0,0,.001173557
K,K,K,Package - K,0,0,46,78,885,1449,0,9052,158146.74,178.696881,196.782609,0,0,.740025740,1.03859830,K,K,Package - K,K / K,0,0,46,78,9052,885,1449,158146.74,0,0,196.782609,178.696881,0,.740025740,1.03859830
L,L,L,Local Corporate - L,0,0,45,45,511,518,0,6537,80223.65,156.993444,145.266667,0,0,.723938224,.599687834,L,L,Local Corporate- L,L / L,0,0,45,45,6537,511,518,80223.65,0,0,145.266667,156.993444,0,.723938224,.599687834
M,M,M,Government/Military - M,0,0,125,138,1289,1515,0,16983,178093.5,138.164081,135.864,0,0,2.01093951,1.51271549,M,M,Government/Military - M,M / M,0,0,125,138,16983,1289,1515,178093.5,0,0,135.864,138.164081,0,2.01093951,1.51271549
N,N,N,Complimentary - N,0,0,16,18,1344,1646,0,-195,328.85,.244680060,-12.1875,0,0,.257400257,1.57726115,N,N,Complimentary - N,N / N,0,0,16,18,-195,1344,1646,328.85,0,0,-12.1875,.244680060,0,.257400257,1.57726115
