GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,316,343,2985,3507,318,50403,511672.2,171.414472,159.503165,0,0,4.35741864,4.23716784,A,A,Group Association- A,A / A,0,318,316,343,50403,2985,3507,511672.2,0,0,159.503165,171.414472,0,4.35741864,4.23716784
C,C,C,Group Corporate - C,5,5,96,96,2503,2664,606,14844,406409,162.368757,154.625,121.2,1.93050193,1.32377275,3.55297524,C,C,Corporate Group - C,C / C,5,606,96,96,14844,2503,2664,406409,5,121.2,154.625,162.368757,1.93050193,1.32377275,3.55297524
D,D,D,Discounts - D,25,32,1493,2673,9552,16790,5014.2,192610.26,1267784.83,132.724543,129.008881,200.568,9.65250965,20.5874242,13.5589371,D,D,Discounts - D,D / D,25,5014.2,1493,2673,192610.26,9552,16790,1267784.83,32,200.568,129.008881,132.724543,9.65250965,20.5874242,13.5589371
E,E,E,Consortium - E,4,4,137,139,897,915,902,22042.25,156191.2,174.126198,160.892336,225.5,1.54440154,1.88913403,1.27327958,E,E,Consortium - E,E / E,4,902,137,139,22042.25,897,915,156191.2,4,225.5,160.892336,174.126198,1.54440154,1.88913403,1.27327958
G,G,G,Rack - G,8,10,367,453,3283,4415,1942.25,64009.29,614588.29,187.203256,174.412234,242.78125,3.08880309,5.06067292,4.66017488,G,G,Rack - G,G / G,8,1942.25,367,453,64009.29,3283,4415,614588.29,10,242.78125,174.412234,187.203256,3.08880309,5.06067292,4.66017488
H,H,H,House Use - H,0,0,0,0,1,1,102,3194.87,10714.64,10714.64,0,0,0,0,.001419487,H,H,House Use - H,H / H,0,102,0,0,3194.87,1,1,10714.64,0,0,0,10714.64,0,0,.001419487
K,K,K,Package - K,0,0,53,97,781,1274,0,8460,138869.74,177.810166,159.622642,0,0,.730832874,1.10861912,K,K,Package - K,K / K,0,0,53,97,8460,781,1274,138869.74,0,0,159.622642,177.810166,0,.730832874,1.10861912
L,L,L,Local Corporate - L,1,1,12,13,419,426,125,1921.64,66820.19,159.475394,160.136667,125,.386100386,.165471594,.594764933,L,L,Local Corporate- L,L / L,1,125,12,13,1921.64,419,426,66820.19,1,125,160.136667,159.475394,.386100386,.165471594,.594764933
M,M,M,Government/Military - M,8,8,113,136,1061,1246,1058,14876,147597,139.111216,131.646018,132.25,3.08880309,1.55819084,1.50607540,M,M,Government/Military - M,M / M,8,1058,113,136,14876,1061,1246,147597,8,132.25,131.646018,139.111216,3.08880309,1.55819084,1.50607540
N,N,N,Complimentary - N,3,3,33,34,1295,1595,0,0,811.11,.626339768,0,0,1.15830116,.455046884,1.83823529,N,N,Complimentary - N,N / N,3,0,33,34,0,1295,1595,811.11,3,0,0,.626339768,1.15830116,.455046884,1.83823529
O,O,O,Contract/Other - O,13,13,637,639,6027,6074,1326,65382,619815.12,102.839741,102.640502,102,5.01930502,8.78378378,8.55524642,O,O,Contract/Other - O,O / O,13,1326,637,639,65382,6027,6074,619815.12,13,102,102.640502,102.839741,5.01930502,8.78378378,8.55524642
