GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,23,23,2669,3164,0,2507,461269.2,172.824728,109,0,0,.306217548,4.25827244,A,A,Group Association- A,A / A,0,0,23,23,2507,2669,3164,461269.2,0,0,109,172.824728,0,.306217548,4.25827244
C,C,C,Group Corporate - C,0,0,164,164,2407,2568,0,21788,391565,162.677607,132.853659,0,0,2.18346425,3.84026293,C,C,Corporate Group - C,C / C,0,0,164,164,21788,2407,2568,391565,0,0,132.853659,162.677607,0,2.18346425,3.84026293
D,D,D,Discounts - D,18,31,853,1582,8029,14071,2628.25,108359.24,1070601.27,133.341795,127.033107,146.013889,6.94980695,11.3566769,12.8099174,D,D,Discounts - D,D / D,18,2628.25,853,1582,108359.24,8029,14071,1070601.27,31,146.013889,127.033107,133.341795,6.94980695,11.3566769,12.8099174
E,E,E,Consortium - E,4,4,142,142,752,768,685.75,21230.55,132812.45,176.612301,149.510915,171.4375,1.54440154,1.89056051,1.19978302,E,E,Consortium - E,E / E,4,685.75,142,142,21230.55,752,768,132812.45,4,171.4375,149.510915,176.612301,1.54440154,1.89056051,1.19978302
G,G,G,Rack - G,3,3,201,348,2907,3953,621.75,29967.75,548927.5,188.829549,149.093284,207.25,1.15830116,2.67607509,4.63799100,G,G,Rack - G,G / G,3,621.75,201,348,29967.75,2907,3953,548927.5,3,207.25,149.093284,188.829549,1.15830116,2.67607509,4.63799100
H,H,H,House Use - H,0,0,0,0,1,1,162,287.88,7519.77,7519.77,0,0,0,0,.001595456,H,H,House Use - H,H / H,0,162,0,0,287.88,1,1,7519.77,0,0,0,7519.77,0,0,.001595456
K,K,K,Package - K,0,0,29,54,727,1176,0,4225,130219.74,179.119312,145.689655,0,0,.386100386,1.15989661,K,K,Package - K,K / K,0,0,29,54,4225,727,1176,130219.74,0,0,145.689655,179.119312,0,.386100386,1.15989661
L,L,L,Local Corporate - L,0,0,27,27,405,411,0,4527.5,64565.09,159.419975,167.685185,0,0,.359472773,.646159737,L,L,Local Corporate- L,L / L,0,0,27,27,4527.5,405,411,64565.09,0,0,167.685185,159.419975,0,.359472773,.646159737
M,M,M,Government/Military - M,3,5,75,80,944,1106,413,10024,132328,140.177966,133.653333,137.666667,1.15830116,.998535481,1.50611060,M,M,Government/Military - M,M / M,3,413,75,80,10024,944,1106,132328,5,137.666667,133.653333,140.177966,1.15830116,.998535481,1.50611060
N,N,N,Complimentary - N,1,1,53,54,1260,1559,0,0,811.11,.643738095,0,0,.386100386,.705631740,2.01027474,N,N,Complimentary - N,N / N,1,0,53,54,0,1260,1559,811.11,1,0,0,.643738095,.386100386,.705631740,2.01027474
O,O,O,Contract/Other - O,20,20,594,598,5350,5395,2040,60690,550353.12,102.869742,102.171717,102,7.72200772,7.90840101,8.53569035,O,O,Contract/Other - O,O / O,20,2040,594,598,60690,5350,5395,550353.12,20,102,102.171717,102.869742,7.72200772,7.90840101,8.53569035
P,P,P,National Corporate - P,8,8,160,169,2705,2851,1339.75,26272.75,469906.53,173.717756,164.204688,167.46875,3.08880309,2.13020903,4.31570886,P,P,National Corporate- P,P / P,8,1339.75,160,169,26272.75,2705,2851,469906.53,8,167.46875,164.204688,173.717756,3.08880309,2.13020903,4.31570886
Q,Q,Q,Group Govt/Military - Q,0,0,313,322,832,898,0,36472,106908,128.495192,116.523962,0,0,4.16722141,1.32741951,Q,Q,Group Govt/Military - Q,Q / Q,0,0,313,322,36472,832,898,106908,0,0,116.523962,128.495192,0,4.16722141,1.32741951
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.017550018,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.017550018
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.164331983,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.164331983
U,U,U,Group SMERF - U,0,0,330,428,5552,8532,0,39189,729740.43,131.437397,118.754545,0,0,4.39355612,8.85797249,U,U,Group SMERF - U,U / U,0,0,330,428,39189,5552,8532,729740.43,0,0,118.754545,131.437397,0,4.39355612,8.85797249
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001595456,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001595456
W,W,W,Wholesale - W,0,0,20,23,737,887,0,2471.5,84408.79,114.530244,123.575,0,0,.266276128,1.17585118,W,W,Wholesale - W,W / W,0,0,20,23,2471.5,737,887,84408.79,0,0,123.575,114.530244,0,.266276128,1.17585118
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
57,72,2984,4014,35392,47489,138.429825,123.328475,138.367315,,7890.5,368012.17,4897096,56.4663837,39.7283983,22.0077220,MONTH,Rooms Month to Date,Room Revenue Month to Date
