GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,3846,4473,0,-93.94,672097.26,174.752278,0,0,0,0,4.72911492,A,A,Group Association- A,A / A,0,0,0,0,-93.94,3846,4473,672097.26,0,0,0,174.752278,0,0,4.72911492
C,C,C,Group Corporate - C,0,0,152,158,3189,3367,0,27944,519965,163.049545,183.842105,0,0,6.52080652,3.92125520,C,C,Corporate Group - C,C / C,0,0,152,158,27944,3189,3367,519965,0,0,183.842105,163.049545,0,6.52080652,3.92125520
D,D,D,Discounts - D,89,145,585,990,11677,20425,12648.42,85844.18,1552508.39,132.954388,146.742188,142.117079,34.3629344,25.0965251,14.3582618,D,D,Discounts - D,D / D,89,12648.42,585,990,85844.18,11677,20425,1552508.39,145,142.117079,146.742188,132.954388,34.3629344,25.0965251,14.3582618
E,E,E,Consortium - E,13,13,48,50,1067,1093,2497.5,8903,187453.35,175.682615,185.479167,192.115385,5.01930502,2.05920206,1.31200354,E,E,Consortium - E,E / E,13,2497.5,48,50,8903,1067,1093,187453.35,13,192.115385,185.479167,175.682615,5.01930502,2.05920206,1.31200354
G,G,G,Rack - G,12,15,111,131,3701,4962,2587.23,20076.93,686311.48,185.439470,180.873243,215.6025,4.63320463,4.76190476,4.55082016,G,G,Rack - G,G / G,12,2587.23,111,131,20076.93,3701,4962,686311.48,15,215.6025,180.873243,185.439470,4.63320463,4.76190476,4.55082016
H,H,H,House Use - H,0,0,0,0,1,1,237.6,1516.65,14456.84,14456.84,0,0,0,0,.001229619,H,H,House Use - H,H / H,0,237.6,0,0,1516.65,1,1,14456.84,0,0,0,14456.84,0,0,.001229619
K,K,K,Package - K,1,1,22,38,861,1409,245,4712,153806.74,178.637329,214.181818,245,.386100386,.943800944,1.05870201,K,K,Package - K,K / K,1,245,22,38,4712,861,1409,153806.74,1,245,214.181818,178.637329,.386100386,.943800944,1.05870201
L,L,L,Local Corporate - L,2,2,25,25,491,498,290,3549,77235.65,157.302749,141.96,145,.772200772,1.07250107,.603742960,L,L,Local Corporate- L,L / L,2,290,25,25,3549,491,498,77235.65,2,145,141.96,157.302749,.772200772,1.07250107,.603742960
M,M,M,Government/Military - M,10,11,50,60,1214,1437,1376,6832,167942.5,138.338138,136.64,137.6,3.86100386,2.14500215,1.49275754,M,M,Government/Military - M,M / M,10,1376,50,60,6832,1214,1437,167942.5,11,137.6,136.64,138.338138,3.86100386,2.14500215,1.49275754
N,N,N,Complimentary - N,1,1,7,7,1335,1635,0,-195,328.85,.246329588,-27.857143,0,.386100386,.300300300,1.64154145,N,N,Complimentary - N,N / N,1,0,7,7,-195,1335,1635,328.85,1,0,-27.857143,.246329588,.386100386,.300300300,1.64154145
