GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,2646,3141,0,-4391,458762.2,173.379516,0,0,0,0,4.81896991,A,A,Group Association- A,A / A,0,0,0,0,-4391,2646,3141,458762.2,0,0,0,173.379516,0,0,4.81896991
C,C,C,Group Corporate - C,0,0,0,0,2243,2404,0,0,369777,164.858226,0,0,0,0,4.08501493,C,C,Corporate Group - C,C / C,0,0,0,0,0,2243,2404,369777,0,0,0,164.858226,0,0,4.08501493
D,D,D,Discounts - D,79,157,1608,3004,7154,12443,8444.58,188942.74,959616.03,134.136990,117.501704,106.893418,30.5019305,20.6949807,13.0290668,D,D,Discounts - D,D / D,79,8444.58,1608,3004,188942.74,7154,12443,959616.03,157,106.893418,117.501704,134.136990,30.5019305,20.6949807,13.0290668
E,E,E,Consortium - E,4,4,87,87,605,621,476,11717.75,110944.4,183.379174,134.686782,119,1.54440154,1.11969112,1.10184308,E,E,Consortium - E,E / E,4,476,87,87,11717.75,605,621,110944.4,4,119,134.686782,183.379174,1.54440154,1.11969112,1.10184308
G,G,G,Rack - G,1,1,188,306,2706,3605,125,25359.55,518959.75,191.781135,134.891223,125,.386100386,2.41956242,4.92824361,G,G,Rack - G,G / G,1,125,188,306,25359.55,2706,3605,518959.75,1,125,134.891223,191.781135,.386100386,2.41956242,4.92824361
H,H,H,House Use - H,0,0,1,1,1,1,636.25,-2866.39,6749.05,6749.05,-2866.39,0,0,.012870013,.001821228,H,H,House Use - H,H / H,0,636.25,1,1,-2866.39,1,1,6749.05,0,0,-2866.39,6749.05,0,.012870013,.001821228
K,K,K,Package - K,1,1,43,73,696,1118,135,6426,125694.74,180.595891,149.441860,135,.386100386,.553410553,1.26757485,K,K,Package - K,K / K,1,135,43,73,6426,696,1118,125694.74,1,135,149.441860,180.595891,.386100386,.553410553,1.26757485
L,L,L,Local Corporate - L,0,0,12,12,378,384,0,1962.79,60037.59,158.829603,163.565833,0,0,.154440154,.688424273,L,L,Local Corporate- L,L / L,0,0,12,12,1962.79,378,384,60037.59,0,0,163.565833,158.829603,0,.154440154,.688424273
M,M,M,Government/Military - M,1,1,62,67,868,1025,125,8206,122173,140.752304,132.354839,125,.386100386,.797940798,1.58082611,M,M,Government/Military - M,M / M,1,125,62,67,8206,868,1025,122173,1,125,132.354839,140.752304,.386100386,.797940798,1.58082611
N,N,N,Complimentary - N,1,1,116,116,1206,1504,0,224,811.11,.672562189,1.93103448,0,.386100386,1.49292149,2.19640125,N,N,Complimentary - N,N / N,1,0,116,116,224,1206,1504,811.11,1,0,1.93103448,.672562189,.386100386,1.49292149,2.19640125
O,O,O,Contract/Other - O,19,19,609,619,4736,4776,1938,62475,487623.12,102.960963,102.586207,102,7.33590734,7.83783784,8.62533693,O,O,Contract/Other - O,O / O,19,1938,609,619,62475,4736,4776,487623.12,19,102,102.586207,102.960963,7.33590734,7.83783784,8.62533693
P,P,P,National Corporate - P,3,3,145,158,2541,2678,499,23828.75,442972.78,174.330098,164.336207,166.333333,1.15830116,1.86615187,4.62774095,P,P,National Corporate- P,P / P,3,499,145,158,23828.75,2541,2678,442972.78,3,166.333333,164.336207,174.330098,1.15830116,1.86615187,4.62774095
Q,Q,Q,Group Govt/Military - Q,0,0,8,8,519,576,0,1048,70436,135.714836,131,0,0,.102960103,.945217455,Q,Q,Group Govt/Military - Q,Q / Q,0,0,8,8,1048,519,576,70436,0,0,131,135.714836,0,.102960103,.945217455
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.020033511,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.020033511
T,T,T,Group Tour/Travel - T,0,0,0,0,103,135,0,0,13247,128.611650,0,0,0,0,.187586508,T,T,Group Tour/Travel - T,T / T,0,0,0,0,0,103,135,13247,0,0,0,128.611650,0,0,.187586508
U,U,U,Group SMERF - U,115,157,1521,1795,5200,8072,12619,167075,688385.43,132.381813,109.845496,109.730435,44.4015444,19.5752896,9.47038683,U,U,Group SMERF - U,U / U,115,12619,1521,1795,167075,5200,8072,688385.43,157,109.730435,109.845496,132.381813,44.4015444,19.5752896,9.47038683
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001821228,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001821228
W,W,W,Wholesale - W,4,7,33,39,717,864,380,3481,81937.29,114.277950,105.484848,95,1.54440154,.424710425,1.30582065,W,W,Wholesale - W,W / W,4,380,33,39,3481,717,864,81937.29,7,95,105.484848,114.277950,1.54440154,.424710425,1.30582065
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
228,351,4433,6285,32331,43361,111.306272,111.321721,139.805125,,25377.83,493489.19,4520039.49,58.8821301,57.0527671,88.0308880,MONTH,Rooms Month to Date,Room Revenue Month to Date
