GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,2646,3141,0,0,458762.2,173.379516,0,0,0,0,4.66493891,A,A,Group Association- A,A / A,0,0,0,0,0,2646,3141,458762.2,0,0,0,173.379516,0,0,4.66493891
C,C,C,Group Corporate - C,0,0,44,44,2287,2448,0,5236,375013,163.975951,119,0,0,2.83140283,4.03201636,C,C,Corporate Group - C,C / C,0,0,44,44,5236,2287,2448,375013,0,0,119,163.975951,0,2.83140283,4.03201636
D,D,D,Discounts - D,107,257,278,599,7454,13088,11976.27,32971.12,995213.15,133.513972,118.601151,111.927757,41.3127413,17.8893179,13.1415173,D,D,Discounts - D,D / D,107,11976.27,278,599,32971.12,7454,13088,995213.15,257,111.927757,118.601151,133.513972,41.3127413,17.8893179,13.1415173
E,E,E,Consortium - E,0,0,18,18,628,644,0,2558.75,114140.65,181.752627,142.152778,0,0,1.15830116,1.10717371,E,E,Consortium - E,E / E,0,0,18,18,2558.75,628,644,114140.65,0,0,142.152778,181.752627,0,1.15830116,1.10717371
G,G,G,Rack - G,22,40,55,102,2761,3707,2783.75,7143.75,526103.5,190.548171,129.886364,126.534091,8.49420849,3.53925354,4.86768569,G,G,Rack - G,G / G,22,2783.75,55,102,7143.75,2761,3707,526103.5,40,126.534091,129.886364,190.548171,8.49420849,3.53925354,4.86768569
H,H,H,House Use - H,0,0,0,0,1,1,0,35.13,7267.02,7267.02,0,0,0,0,.001763015,H,H,House Use - H,H / H,0,0,0,0,35.13,1,1,7267.02,0,0,0,7267.02,0,0,.001763015
K,K,K,Package - K,4,8,12,27,710,1149,540,1725,127719.74,179.886958,143.75,135,1.54440154,.772200772,1.25174098,K,K,Package - K,K / K,4,540,12,27,1725,710,1149,127719.74,8,135,143.75,179.886958,1.54440154,.772200772,1.25174098
L,L,L,Local Corporate - L,0,0,3,3,381,387,0,398.6,60436.19,158.625171,132.866667,0,0,.193050193,.671708891,L,L,Local Corporate- L,L / L,0,0,3,3,398.6,381,387,60436.19,0,0,132.866667,158.625171,0,.193050193,.671708891
M,M,M,Government/Military - M,1,1,5,5,874,1031,131,655,122959,140.685355,131,131,.386100386,.321750322,1.54087551,M,M,Government/Military - M,M / M,1,131,5,5,655,874,1031,122959,1,131,131,140.685355,.386100386,.321750322,1.54087551
N,N,N,Complimentary - N,3,3,16,16,1223,1521,0,0,811.11,.663213410,0,0,1.15830116,1.02960103,2.15616791,N,N,Complimentary - N,N / N,3,0,16,16,0,1223,1521,811.11,3,0,0,.663213410,1.15830116,1.02960103,2.15616791
