GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,900,1213,2646,3141,0,135697.5,463510.2,175.173923,150.775,0,0,14.4787645,5.80466830,A,A,Group Association- A,A / A,0,0,900,1213,135697.5,2646,3141,463510.2,0,0,150.775,175.173923,0,14.4787645,5.80466830
C,C,C,Group Corporate - C,28,31,220,234,2237,2394,3696,29113,368985,164.946357,132.331818,132,10.8108108,3.53925354,4.90742366,C,C,Corporate Group - C,C / C,28,3696,220,234,29113,2237,2394,368985,31,132,132.331818,164.946357,10.8108108,3.53925354,4.90742366
D,D,D,Discounts - D,40,81,726,1247,5345,9088,4047.97,102598.89,744472.78,139.283963,141.320785,101.19925,15.4440154,11.6795367,11.7256055,D,D,Discounts - D,D / D,40,4047.97,726,1247,102598.89,5345,9088,744472.78,81,101.19925,141.320785,139.283963,15.4440154,11.6795367,11.7256055
E,E,E,Consortium - E,0,0,63,72,517,533,0,11383.85,99069.4,191.623598,180.696032,0,0,1.01351351,1.13416988,E,E,Consortium - E,E / E,0,0,63,72,11383.85,517,533,99069.4,0,0,180.696032,191.623598,0,1.01351351,1.13416988
G,G,G,Rack - G,5,7,144,178,2502,3277,725,27381.49,491222.2,196.331815,190.149236,145,1.93050193,2.31660232,5.48876799,G,G,Rack - G,G / G,5,725,144,178,27381.49,2502,3277,491222.2,7,145,190.149236,196.331815,1.93050193,2.31660232,5.48876799
H,H,H,House Use - H,0,0,0,0,0,0,0,51.29,8981.81,0,0,0,0,0,0,H,H,House Use - H,H / H,0,0,0,0,51.29,0,0,8981.81,0,0,0,0,0,0,0
K,K,K,Package - K,3,5,14,21,644,1032,447,2548,117722.74,182.799286,182,149,1.15830116,.225225225,1.41277641,K,K,Package - K,K / K,3,447,14,21,2548,644,1032,117722.74,5,149,182,182.799286,1.15830116,.225225225,1.41277641
L,L,L,Local Corporate - L,1,1,13,13,363,369,125,2063,57668.74,158.867052,158.692308,125,.386100386,.209137709,.796332046,L,L,Local Corporate- L,L / L,1,125,13,13,2063,363,369,57668.74,1,125,158.692308,158.867052,.386100386,.209137709,.796332046
M,M,M,Government/Military - M,1,1,55,67,799,950,131,7265,113000,141.426783,132.090909,131,.386100386,.884813385,1.75280800,M,M,Government/Military - M,M / M,1,131,55,67,7265,799,950,113000,1,131,132.090909,141.426783,.386100386,.884813385,1.75280800
N,N,N,Complimentary - N,9,9,96,99,1063,1361,-185,.01,587.11,.552314205,.000104167,-20.555556,3.47490347,1.54440154,2.33195858,N,N,Complimentary - N,N / N,9,-185,96,99,.01,1063,1361,587.11,9,-20.555556,.000104167,.552314205,3.47490347,1.54440154,2.33195858
