GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,2669,3164,0,0,461269.2,172.824728,0,0,0,0,4.07313016,A,A,Group Association- A,A / A,0,0,0,0,0,2669,3164,461269.2,0,0,0,172.824728,0,0,4.07313016
C,C,C,Group Corporate - C,0,0,0,0,2407,2568,0,0,391565,162.677607,0,0,0,0,3.67329498,C,C,Corporate Group - C,C / C,0,0,0,0,0,2407,2568,391565,0,0,0,162.677607,0,0,3.67329498
D,D,D,Discounts - D,95,198,489,985,8548,15102,10314.55,56364.69,1131539.26,132.374738,115.265215,108.574211,36.6795367,20.9781210,13.0450043,D,D,Discounts - D,D / D,95,10314.55,489,985,56364.69,8548,15102,1131539.26,198,108.574211,115.265215,132.374738,36.6795367,20.9781210,13.0450043
E,E,E,Consortium - E,3,4,15,17,775,793,344.25,2087.75,136236.7,175.789290,139.183333,114.75,1.15830116,.643500644,1.18271857,E,E,Consortium - E,E / E,3,344.25,15,17,2087.75,775,793,136236.7,4,114.75,139.183333,175.789290,1.15830116,.643500644,1.18271857
G,G,G,Rack - G,16,24,88,115,3004,4077,2006.25,12636.25,563215.25,187.488432,143.59375,125.390625,6.17760618,3.77520378,4.58436980,G,G,Rack - G,G / G,16,2006.25,88,115,12636.25,3004,4077,563215.25,24,125.390625,143.59375,187.488432,6.17760618,3.77520378,4.58436980
H,H,H,House Use - H,0,0,0,0,1,1,-225,-78.63,7441.14,7441.14,0,0,0,0,.001526088,H,H,House Use - H,H / H,0,-225,0,0,-78.63,1,1,7441.14,0,0,0,7441.14,0,0,.001526088
K,K,K,Package - K,5,10,14,25,742,1202,715,1965,132374.74,178.402615,140.357143,143,1.93050193,.600600601,1.13235765,K,K,Package - K,K / K,5,715,14,25,1965,742,1202,132374.74,10,143,140.357143,178.402615,1.93050193,.600600601,1.13235765
L,L,L,Local Corporate - L,0,0,0,0,407,413,0,0,64898.55,159.455897,0,0,0,0,.621118012,L,L,Local Corporate- L,L / L,0,0,0,0,0,407,413,64898.55,0,0,0,159.455897,0,0,.621118012
M,M,M,Government/Military - M,0,0,5,11,953,1121,0,655,133376,139.953830,131,0,0,.214500215,1.45436232,M,M,Government/Military - M,M / M,0,0,5,11,655,953,1121,133376,0,0,131,139.953830,0,.214500215,1.45436232
N,N,N,Complimentary - N,2,2,7,7,1269,1568,0,0,811.11,.639172577,0,0,.772200772,.300300300,1.93660628,N,N,Complimentary - N,N / N,2,0,7,7,0,1269,1568,811.11,2,0,0,.639172577,.772200772,.300300300,1.93660628
