GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,21,23,3895,4524,0,1450,678017.26,174.073751,69.0476190,0,0,.368550369,4.21249581,A,A,Group Association- A,A / A,0,0,21,23,1450,3895,4524,678017.26,0,0,69.0476190,174.073751,0,.368550369,4.21249581
C,C,C,Group Corporate - C,0,0,71,72,3381,3560,0,10139,547535,161.944691,142.802817,0,0,1.24605125,3.65659777,C,C,Corporate Group - C,C / C,0,0,71,72,10139,3381,3560,547535,0,0,142.802817,161.944691,0,1.24605125,3.65659777
D,D,D,Discounts - D,18,33,1064,1971,13733,24279,1637.68,123097.250,1794528.49,130.672722,115.692904,90.9822222,6.94980695,18.6732187,14.8524275,D,D,Discounts - D,D / D,18,1637.68,1064,1971,123097.250256410256,13733,24279,1794528.490256410256,33,90.9822222,115.692904,130.672722,6.94980695,18.6732187,14.8524275
E,E,E,Consortium - E,1,1,84,90,1213,1245,93.5,12722,210966.1,173.920940,151.452381,93.5,.386100386,1.47420147,1.31187610,E,E,Consortium - E,E / E,1,93.5,84,90,12722,1213,1245,210966.1,1,93.5,151.452381,173.920940,.386100386,1.47420147,1.31187610
G,G,G,Rack - G,4,6,184,232,4026,5369,409,27142.24,736611.63,182.963644,147.512174,102.25,1.54440154,3.22920323,4.35417410,G,G,Rack - G,G / G,4,409,184,232,27142.24,4026,5369,736611.63,6,102.25,147.512174,182.963644,1.54440154,3.22920323,4.35417410
H,H,H,House Use - H,0,0,0,0,1,1,-137.6,1189.15,13912.48,13912.48,0,0,0,0,.001081514,H,H,House Use - H,H / H,0,-137.6,0,0,1189.15,1,1,13912.48,0,0,0,13912.48,0,0,.001081514
K,K,K,Package - K,1,2,49,91,943,1556,120,8210,168096.74,178.257413,167.551020,120,.386100386,.859950860,1.01986741,K,K,Package - K,K / K,1,120,49,91,8210,943,1556,168096.74,2,120,167.551020,178.257413,.386100386,.859950860,1.01986741
L,L,L,Local Corporate - L,0,0,26,26,556,563,0,4004.25,87947.9,158.179676,154.009615,0,0,.456300456,.601321610,L,L,Local Corporate- L,L / L,0,0,26,26,4004.25,556,563,87947.9,0,0,154.009615,158.179676,0,.456300456,.601321610
M,M,M,Government/Military - M,1,1,150,171,1449,1695,145,19947,199660.5,137.791925,132.98,145,.386100386,2.63250263,1.56711333,M,M,Government/Military - M,M / M,1,145,150,171,19947,1449,1695,199660.5,1,145,132.98,137.791925,.386100386,2.63250263,1.56711333
N,N,N,Complimentary - N,1,1,21,23,1369,1672,0,0,328.85,.240211833,0,0,.386100386,.368550369,1.48059224,N,N,Complimentary - N,N / N,1,0,21,23,0,1369,1672,328.85,1,0,0,.240211833,.386100386,.368550369,1.48059224
O,O,O,Contract/Other - O,5,5,313,337,7508,7588,510,31944,770997.12,102.690080,102.057508,102,1.93050193,5.49315549,8.12000476,O,O,Contract/Other - O,O / O,5,510,313,337,31944,7508,7588,770997.12,5,102,102.057508,102.690080,1.93050193,5.49315549,8.12000476
P,P,P,National Corporate - P,0,0,191,191,3685,3837,0,30590.5,628220.09,170.480350,160.159686,0,0,3.35205335,3.98537793,P,P,National Corporate- P,P / P,0,0,191,191,30590.5,3685,3837,628220.09,0,0,160.159686,170.480350,0,3.35205335,3.98537793
Q,Q,Q,Group Govt/Military - Q,0,0,368,368,1867,1933,0,49680,244449,130.931441,135,0,0,6.45840646,2.01918605,Q,Q,Group Govt/Military - Q,Q / Q,0,0,368,368,49680,1867,1933,244449,0,0,135,130.931441,0,6.45840646,2.01918605
R,R,R,DO NOT USE,0,0,0,0,11,13,0,0,1913,173.909091,0,0,0,0,.011896651,R,R,DO NOT USE,R / R,0,0,0,0,0,11,13,1913,0,0,0,173.909091,0,0,.011896651
T,T,T,Group Tour/Travel - T,0,0,47,47,151,183,0,6063,19439,128.735099,129,0,0,.824850825,.163308567,T,T,Group Tour/Travel - T,T / T,0,0,47,47,6063,151,183,19439,0,0,129,128.735099,0,.824850825,.163308567
U,U,U,Group SMERF - U,0,0,106,142,7428,11323,0,10844,981703.33,132.162538,102.301887,0,0,1.86030186,8.03348366,U,U,Group SMERF - U,U / U,0,0,106,142,10844,7428,11323,981703.33,0,0,102.301887,132.162538,0,1.86030186,8.03348366
V,V,V,DO NOT USE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.001081514,V,V,DO NOT USE,V / V,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.001081514
W,W,W,Wholesale - W,1,1,120,126,1117,1278,179,13059.94,130339.02,116.686679,108.832833,179,.386100386,2.10600211,1.20805079,W,W,Wholesale - W,W / W,1,179,120,126,13059.94,1117,1278,130339.02,1,179,108.832833,116.686679,.386100386,2.10600211,1.20805079
S_DAY_ROOMS,S_DAY_PERSONS,S_MONTH_RMS,S_MONTH_PRS,S_YEAR_RMS,S_YEAR_PRS,S_DAY_ARR,S_MONTH_ARR,S_YEAR_ARR,LOGO,S_DAY_CREV,S_MONTH_CREV,S_YEAR_CREV,S_YTD_PER_OCC,S_MTD_PER_OCC,S_DAY_PER_OCC,CF_PERIOD_TEXT,CF_LEG_ROOMS_MTD,CF_LEG_REVENUE_MTD
